Date,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2020-01-01,605.5293579101562,633.151123046875,675.32421875,1866.114013671875
2020-01-02,609.38916015625,631.3037719726562,686.8212280273438,1857.5477294921875
2020-01-03,600.6988525390625,641.0134887695312,687.6488037109375,1894.56689453125
2020-01-06,587.6987915039062,634.8696899414062,671.7006225585938,1894.3944091796875
2020-01-07,597.0047607421875,625.460693359375,682.0344848632812,1899.043701171875
2020-01-08,595.44189453125,617.1257934570312,676.9122924804688,1941.5726318359375
2020-01-09,602.1195678710938,625.1599731445312,692.5026245117188,1906.3619384765625
2020-01-10,607.4711303710938,634.2681884765625,692.345947265625,1905.6729736328125
2020-01-13,609.033935546875,664.6862182617188,690.5789794921875,1885.699462890625
2020-01-14,610.6915283203125,666.49072265625,684.181884765625,1899.947509765625
2020-01-15,608.2052001953125,659.5307006835938,681.698974609375,1917.1661376953125
2020-01-16,609.8154296875,659.0580444335938,687.9841918945312,1927.4111328125
2020-01-17,605.3162841796875,659.7884521484375,707.2652587890625,1910.4512939453125
2020-01-20,594.3053588867188,660.3040161132812,685.5015258789062,1868.4810791015625
2020-01-21,589.3089599609375,655.1912841796875,686.1950073242188,1869.084228515625
2020-01-22,587.6514282226562,661.8078002929688,685.9489135742188,1899.947509765625
2020-01-23,589.5457763671875,673.9661865234375,683.0411376953125,1890.499755859375
2020-01-24,589.4037475585938,672.5914306640625,680.6700439453125,1883.98486328125
2020-01-27,574.5567016601562,668.5958251953125,673.9597778320312,1871.775146484375
2020-01-28,579.2925415039062,668.5099487304688,658.3919067382812,1884.2867431640625
2020-01-29,585.283447265625,678.5634155273438,662.0154418945312,1859.1336669921875
2020-01-30,580.6423950195312,670.8299560546875,645.8660278320312,1844.6812744140625
2020-01-31,580.7607421875,666.74853515625,631.506103515625,1793.944580078125
2020-02-03,564.8955688476562,659.4017333984375,619.8077392578125,1814.1787109375
2020-02-04,582.4182739257812,676.9737548828125,638.1044921875,1818.708740234375
2020-02-05,589.4510498046875,674.1381225585938,647.9909057617188,1852.1881103515625
2020-02-06,587.1542358398438,662.7957763671875,652.1513671875,1836.4835205078125
2020-02-07,588.290771484375,667.908447265625,641.3478393554688,1843.559326171875
2020-02-10,587.3909912109375,664.385498046875,642.2201538085938,1865.47607421875
2020-02-11,587.5330810546875,664.6862182617188,649.8922729492188,1858.0985107421875
2020-02-12,591.5111694335938,671.1307983398438,657.7432250976562,1873.0693359375
2020-02-13,587.9119262695312,680.7545166015625,659.465576171875,1891.3624267578125
2020-02-14,577.4692993164062,675.770751953125,665.4824829101562,1884.6749267578125
2020-02-17,576.4274291992188,678.3485107421875,661.2997436523438,1901.1124267578125
2020-02-18,574.5804443359375,685.3946533203125,656.4459228515625,1911.898193359375
2020-02-19,581.1869506835938,687.800537109375,672.7295532226562,1895.158935546875
2020-02-20,576.4037475585938,684.8360595703125,664.7443237304688,1861.03271484375
2020-02-24,573.0176391601562,683.847900390625,646.40283203125,1825.2667236328125
2020-02-25,568.4474487304688,686.0391235351562,633.6309204101562,1860.4716796875
2020-02-26,567.9501953125,672.5914306640625,622.7154541015625,1832.385498046875
2020-02-27,568.0448608398438,668.3810424804688,620.1432495117188,1816.7674560546875
