,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
HDFCBANK.NS,0.0804168467937254,0.03273039015900523,0.04081952163236681,0.02544095557021632
INFY.NS,0.03273039015900523,0.08392710476621691,0.03481728679619511,0.05196951376966953
RELIANCE.NS,0.04081952163236681,0.03481728679619511,0.09732910246011463,0.031878482532373104
TCS.NS,0.02544095557021632,0.05196951376966953,0.031878482532373104,0.06368051949012214
