Date,portfolio_return
2020-01-02,0.003972666080532376
2020-01-03,0.005563348427898975
2020-01-06,-0.01362729982373762
2020-01-07,0.004713290197064825
2020-01-08,-0.00026477018276810024
2020-01-09,0.0072822657594806
2020-01-10,0.0057175484260481
2020-01-13,0.00937436734800445
2020-01-14,0.0009321043286363748
2020-01-15,-0.00227015674990585
2020-01-16,0.00412369099255375
2020-01-17,0.0032390974004601752
2020-01-20,-0.017537225241122924
2020-01-21,-0.0037039415821327505
2020-01-22,0.005859920241061775
2020-01-23,0.003095830815104625
2020-01-24,-0.002299440437721475
2020-01-27,-0.011867462621689025
2020-01-28,-0.002075184490399125
2020-01-29,0.004383832934605026
2020-01-30,-0.012873617733898501
2020-01-31,-0.013904672790312576
2020-02-03,-0.011395450965540378
2020-02-04,0.022421209980828773
2020-02-05,0.01044703634682965
2020-02-06,-0.005694926828035801
2020-02-07,-0.0007659297640288747
2020-02-10,0.001611088442946
2020-02-11,0.002171442126969575
2020-02-12,0.00915095445832225
2020-02-13,0.00515998427327365
2020-02-14,-0.004873748555775475
2020-02-17,0.0011116908382811503
2020-02-18,0.0013791521609794748
2020-02-19,0.007764635466977074
2020-02-20,-0.0106042855164616
2020-02-24,-0.013531980184162101
2020-02-25,-0.0013104994897696004
2020-02-26,-0.01319990165445735
2020-02-27,-0.00468689066711795
2020-02-28,-0.042272868184679104
2020-03-02,0.001400186488505625
2020-03-03,0.0119049244026522
2020-03-04,0.00214616541829225
2020-03-05,-0.0011287252859047258
2020-03-06,-0.01742394383989555
2020-03-09,-0.0656249696228549
2020-03-11,0.001396788902502626
2020-03-12,-0.08388322779195645
2020-03-13,0.03138534705381695
2020-03-16,-0.07494534725058817
2020-03-17,-0.025746859480545226
2020-03-18,-0.0448189602923664
2020-03-19,-0.0034530394648657997
2020-03-20,0.06654730479474188
2020-03-23,-0.10726848597997947
2020-03-24,0.0506280623781454
2020-03-25,0.07966650034688595
2020-03-26,0.030216464736865525
2020-03-27,0.009243423274724825
2020-03-30,-0.0446308902854615
2020-03-31,0.04189779129462952
2020-04-01,-0.04797657996034928
2020-04-03,-0.020527983665590298
2020-04-07,0.09615348736463494
2020-04-08,-0.017618156617445903
2020-04-09,0.026735344498067748
2020-04-13,-0.014863051193664174
2020-04-15,-0.019988945533841652
2020-04-16,2.249269615407475e-05
2020-04-17,0.03575350514472415
2020-04-20,0.025017327403481296
2020-04-21,-0.026261221300313622
2020-04-22,0.03539089738668775
2020-04-23,0.0383836810877631
2020-04-24,-0.011802656185381026
2020-04-27,0.005013091386450625
2020-04-28,0.0017661956085319249
2020-04-29,0.02432051507820435
2020-04-30,0.0418273913704112
2020-05-04,-0.04994680717468445
2020-05-05,0.0016027211217944002
2020-05-06,0.0029384495614082962
2020-05-07,0.00032784898941439996
2020-05-08,0.01390302776176545
2020-05-11,0.007594064966119525
2020-05-12,-0.015783315278584325
2020-05-13,0.014924140821431228
2020-05-14,-0.03828741136147439
2020-05-15,-0.0009338815239799997
2020-05-18,-0.0062851054326113
2020-05-19,-0.005157885330935049
2020-05-20,0.013351517174235451
2020-05-21,0.007832303639162048
2020-05-22,0.003450684675978549
2020-05-26,-0.011103647161697325
2020-05-27,0.03596846335303822
2020-05-28,0.016692835006073173
2020-05-29,-0.00609723933523815
2020-06-01,0.031342583441079826
2020-06-02,0.009191096647072575
2020-06-03,0.004575738657016825
2020-06-04,0.008917211544020049
2020-06-05,0.0015406188280501498
2020-06-08,0.002865658104816175
2020-06-09,-0.013281981403308125
2020-06-10,0.01066283768871015
2020-06-11,-0.020366874718484376
2020-06-12,0.0043302434090082996
2020-06-15,-0.007119922205329
2020-06-16,0.018082030220881902
2020-06-17,-0.002059759753889725
2020-06-18,0.019123865776270878
2020-06-19,0.016783540173039076
2020-06-22,-0.005686932781790275
2020-06-23,0.006605511893600951
2020-06-24,-0.0027482506964016757
2020-06-25,-0.010321131687322
2020-06-26,0.0399524919802892
2020-06-29,-0.0055432957741656
2020-06-30,-0.006018313463490525
2020-07-01,0.009125432059173124
2020-07-02,0.0216266734841602
2020-07-03,0.007308024032042075
2020-07-06,0.02334640362552515
2020-07-07,0.007265918193776675
2020-07-08,-0.0140528140196617
2020-07-09,0.0075566269229424
2020-07-10,0.005051116996583324
2020-07-13,0.006555192905692574
2020-07-14,-0.017017651691522924
2020-07-15,0.011489767842574826
2020-07-16,0.026890256612817322
2020-07-17,0.01175155060265315
2020-07-20,0.018381901713794228
2020-07-21,0.01053659324692975
2020-07-22,-0.0074261152376325495
2020-07-23,0.0026469121231769252
2020-07-24,0.010748052829370648
2020-07-27,0.00498387972304015
2020-07-28,0.019607119125629575
2020-07-29,-0.0202839224319614
2020-07-30,0.00047045284425210025
2020-07-31,-0.007805225672533174
2020-08-03,-0.019823416390220824
2020-08-04,0.025177932072637674
2020-08-05,-0.006457803736690175
2020-08-06,0.0163961803621876
2020-08-07,-0.004314691025876875
2020-08-10,-0.002718215745898875
2020-08-11,0.004372692561910875
2020-08-12,-0.0021771422440153747
2020-08-13,-0.003047952260354975
2020-08-14,-0.007512314531954826
2020-08-17,-0.0007891687198396001
2020-08-18,0.013438650629173375
2020-08-19,0.00034399927622549994
2020-08-20,-0.007324687522429724
2020-08-21,0.0023456422246649505
2020-08-24,0.008475361806188976
2020-08-25,-0.0040954676496325
2020-08-26,0.010942906291107874
2020-08-27,-0.0060943435104463
2020-08-28,-0.003013095364538725
2020-08-31,-0.003574418698736875
2020-09-01,-0.00174516813636675
2020-09-02,0.011209887670150426
2020-09-03,0.0043085652272197
2020-09-04,-0.012235219703263675
2020-09-07,0.00446716619754295
2020-09-08,0.0094972332735956
2020-09-09,-0.0024098434338263998
2020-09-10,0.019990584017761926
2020-09-11,0.00400191982521595
2020-09-14,0.01434515500835535
2020-09-15,0.00577030915427285
2020-09-16,0.012096012443032201
2020-09-17,-0.0069636042749401
2020-09-18,-0.008622797762039601
2020-09-21,-0.0037918818906556508
2020-09-22,-0.0030135034013989755
2020-09-23,0.002623071732693949
2020-09-24,-0.03415209548277313
2020-09-25,0.024541852419873576
2020-09-28,0.0042479748756260255
2020-09-29,0.0112811255030401
2020-09-30,0.002790807914011125
2020-10-01,0.01100817529102695
2020-10-05,0.025898498481407174
2020-10-06,0.00893126996531725
2020-10-07,0.01385042641309925
2020-10-08,0.018900010549553828
2020-10-09,0.009976670427436525
2020-10-12,0.003599833843227275
2020-10-13,0.00711763359739155
2020-10-14,-0.0014632970521308748
2020-10-15,-0.030032131801479574
2020-10-16,0.009370494039867725
2020-10-19,-0.004115241552028025
2020-10-20,0.007011966874491325
2020-10-21,-0.002403183728862025
2020-10-22,-0.009362669062090151
2020-10-23,0.0039150101461222254
2020-10-26,-0.01707769290106165
2020-10-27,-0.005004033566139726
2020-10-28,-0.011629686302209624
