Date,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2020-01-01,605.5293579101562,633.1510620117188,675.3241577148438,1866.1143798828125
2020-01-02,609.38916015625,631.3037719726562,686.8212280273438,1857.5479736328125
2020-01-03,600.6988525390625,641.0133666992188,687.6488037109375,1894.56689453125
2020-01-06,587.6987915039062,634.86962890625,671.70068359375,1894.39453125
2020-01-07,597.0048217773438,625.460693359375,682.0345458984375,1899.0435791015625
2020-01-08,595.44189453125,617.1257934570312,676.912353515625,1941.57275390625
2020-01-09,602.1195678710938,625.1598510742188,692.5025634765625,1906.3614501953125
2020-01-10,607.4710083007812,634.2681884765625,692.3460083007812,1905.6732177734375
2020-01-13,609.0339965820312,664.686279296875,690.5789794921875,1885.6998291015625
2020-01-14,610.6914672851562,666.4906005859375,684.181884765625,1899.94775390625
2020-01-15,608.2051391601562,659.5305786132812,681.6990356445312,1917.1658935546875
2020-01-16,609.8153686523438,659.0579833984375,687.9842529296875,1927.4110107421875
2020-01-17,605.3162231445312,659.7883911132812,707.2652587890625,1910.4510498046875
2020-01-20,594.3052978515625,660.3040161132812,685.5015258789062,1868.4815673828125
2020-01-21,589.3090209960938,655.1914672851562,686.1948852539062,1869.083984375
2020-01-22,587.6514282226562,661.8076782226562,685.9489135742188,1899.94775390625
2020-01-23,589.5457153320312,673.9663696289062,683.0410766601562,1890.4993896484375
2020-01-24,589.4037475585938,672.591552734375,680.6701049804688,1883.9849853515625
2020-01-27,574.5567016601562,668.5958862304688,673.9597778320312,1871.7752685546875
2020-01-28,579.2925415039062,668.510009765625,658.3919067382812,1884.28662109375
2020-01-29,585.283447265625,678.5634155273438,662.0155029296875,1859.1339111328125
2020-01-30,580.6423950195312,670.8300170898438,645.8660888671875,1844.6812744140625
2020-01-31,580.7608032226562,666.74853515625,631.5059814453125,1793.9442138671875
2020-02-03,564.8955688476562,659.40185546875,619.8076782226562,1814.1787109375
2020-02-04,582.4182739257812,676.9737548828125,638.1044921875,1818.7088623046875
2020-02-05,589.4510498046875,674.1382446289062,647.9909057617188,1852.1878662109375
2020-02-06,587.1541748046875,662.7958374023438,652.1514282226562,1836.4837646484375
2020-02-07,588.2908325195312,667.908447265625,641.3478393554688,1843.559326171875
2020-02-10,587.3909912109375,664.385498046875,642.2201538085938,1865.476318359375
2020-02-11,587.532958984375,664.686279296875,649.892333984375,1858.098388671875
2020-02-12,591.5111083984375,671.1307373046875,657.7432861328125,1873.069091796875
2020-02-13,587.9119262695312,680.7545776367188,659.465576171875,1891.3623046875
2020-02-14,577.4691772460938,675.7708740234375,665.4824829101562,1884.6751708984375
2020-02-17,576.4274291992188,678.3485717773438,661.2996826171875,1901.1126708984375
2020-02-18,574.5803833007812,685.3946533203125,656.4459228515625,1911.898681640625
2020-02-19,581.1869506835938,687.8004760742188,672.7296142578125,1895.1590576171875
2020-02-20,576.4036865234375,684.8361206054688,664.744384765625,1861.0325927734375
2020-02-24,573.017578125,683.8478393554688,646.4028930664062,1825.266357421875
2020-02-25,568.4474487304688,686.0390625,633.6310424804688,1860.471435546875
2020-02-26,567.9501953125,672.591552734375,622.7154541015625,1832.385498046875
2020-02-27,568.044921875,668.3809814453125,620.1431884765625,1816.767333984375
2020-02-28,557.720703125,628.7258911132812,594.3756713867188,1725.864501953125
